sentence,exrecise,feeling
i played golf with my friend i felt better after the work out because i burned calories.,golf,better
i played 18 holes of golf i feel happy to have played so long,golf,happy
"i trained for half a marathon today, my legs are so sore.",half a marathon,sore
i did 3 sets of 15 hand grip pulls on each hand. i felt like i completed a first step.,hand grip pulls,completed
i just played handball. i am energetic.,handball,energetic
i did a high intensity interval training video i felt very sore.,high intensity interval training,sore
i completed a high intensity interval workout. i felt tired.,high intensity interval workout,tired
high intensity spin workout i felt very sweaty and worn out.,high intensity spin workout,"sweaty, worn out."
i did thirty minutes of a high intensity training workout and i felt hungry.,high intensity training,hungry
i did thirty minutes of high intensity training and felt full of vitality.,high intensity training,full of vitality
i did 30 minutes of high intensity training. i felt full of energy.,high intensity training,full of energy
i did high knees for 10 minutes.  i felt like my heart was going to jump out of my chest.,high knees,heart was going to jump out of my chest
i just do 10 min high plank i feel so tired,high plank,tired
i did hiit training for 1 hour i felt sick,hiit,sick
i did a 45 minute hiit workout. i feel energized and great.,hiit,energized
i did a 30 min hiit style workout it was hard but i felt good after,hiit,"hard, good"
i completed a hiit class i am tired and sweaty,hiit class,"tired, sweaty"
i did a hiit training workout for 45 minutes. i felt out of breath and tired.,hiit training,"out of breath, tired"
i went for a hike and am totally exhausted,hike,exhausted
i went for a five hour hike. the last stretch was rough on my back.,hike,rough
went on a 3 mile hike. tired and weak.,hike,"tired, weak"
i went for a hike.  my calfs are on fire.,hike,fire
i took a 2 hour hike it was invigorating,hike,invigorating
i just finished a 3 mile hike. it was great!,hike,great
i just went on a 5 hour hike. it felt refreshing and exciting.,hike,"refreshing, exciting"
went for an 8 mile hike along a trail in the wods felt good out there a bit cold but worth it for the fresh air.,hike,"good, cold"
went for a hike felt exhausted,hike,exhausted
i went for a long hike up a mountain. my legs are shaky & sore.,hike,"shaky, sore"
i just went for a two mile hike. i feel exhausted.,hike,exhausted
"i just completed a one hour hike i feel great, the last 10 mins was tiring",hike,"great, tiring"
i hiked up a hill and felt very strong!,hiked,very strong
i hiked for three hours and felt tired during and after.,hiked,tired
i hiked for 60 minutes with my dog and felt really perky throught out and after it.,hiked,perky
"i hiked from my house to the top of spencer butte, about 10.5 miles one way. i felt tired and my feet hurt, but the experience was invigorating.",hiked,"tired, feet hurt, invigorating"
"i hiked three miles and felt awake, connected to nature and happy.",hiked,"awake, connected to nature, happy"
"hiked pisgah, 1:45 it was hot.",hiked,hot
i hiked a mild trail i feel free,hiked,free
i hiked up a hill for two hours! i feel really tired!,hiked,tired
i just hiked for an hour. i felt exhausted.,hiked,exhausted
i just hiked 4 miles i felt tired,hiked,tired
i hiked 2 miles in the woods. i felt rejuvenated,hiked,rejuvenated
i just hiked 2  and a half miles i feel refreshed,hiked,refreshed
i hiked with my dog. i felt refreshed.,hiked,refreshed
"i just hiked 7 miles, uphill, one way! i feel amazing!",hiked,amazing
i just hiked one mile. i feel energized.,hiked,energized
i just hiked 15 miles. i am worn out!,hiked,worn out
i hiked 6 miles.  i felt really sore afterwards!,hiked,sore
i hiked 3 miles in the forest. i felt amazing and at peace with nature.,hiked,"amazing, at peace"
i hiked 12 miles today. i feel accomplished!,hiked,accomplished
i hiked a one mile trail i felt completely winded and out of breath,hiked,winded
i hiked 15 miles. i felt tired.,hiked,tired
i hiked for an hour and a half i felt invigorated,hiked,invigorated
i hiked 2 miles to the put in i was tired but excited,hiked,tired
i hiked 3.5 miles at pinnacle peak trail. it was tough but invigorating.,hiked,"tough, invigorating"
i just hiked 4 miles in the forest. i felt great,hiked,great
i just hiked 3 miles with my weighted vest. i felt really tired afterwards,hiked,tired
i hiked up a moutain path for one hour. i feel invigorated by the fresh moutain air and am ready for more.,hiked,"invigorated, ready for more"
i hiked to the top of that mountain.  it felt exhilarating to climb that high.,hiked,exhilarating
i like long hikes in the woods with my dog. these make me feel refreshed and help unwind.,hikes,"refreshed, unwind"
i went uphill hiking for 30 minutes and felt strong and refreshed.,hiking,"strong, refreshed"
i went on a hiking trial and walked for 45 minutes. i felt very refreshing.,hiking trial,refreshing
"did 4 sets of hills at the stadium, from track to top bleachers really burned my calves, but endurance-wise it was great",hills,"burned, great"
i did 40 hip thrusts. i feel powerful.,hip thrusts,powerful
i took an hour long hip-hop dance class. i felt incredible and had so much fun because it was a high energy environment!,hip-hop dance class,"incredible, had so much fun"
i hit a punching bag for 15 minutes i felt invigorated,hit,invigorated
"i hit my muay thai bag  i felt like batman, unstoppable",hit,unstoppable
i did a 30 minute hit workout from youtube. afterwards i felt energized,hit workout,energized
"i just did a hit workout my legs feel like jello, i'm so out of shape.",hit workout,"jello, out of shape"
i just hopped like a frog.  i feel really burnt out.,hopped,burnt out
i just did an hour of hot yoga. i felt so relaxed.,hot yoga,relaxed
i took a hot yoga class today i sweated buckets!,hot yoga,sweated
i just did hot yoga for an hour! i feel so sweaty!,hot yoga,sweaty
"i do hydrogymnastics three times a week, the exercises are simple. however, they are tiring.",hydrogymnastics,tiring
i went running felt good,i went running,good
i ice skated for two hours. i felt brave.,ice skated,brave
i went ice skating for an hour. my ankles were very tired.,ice skating,tired
i just did three sets of incline dumbbell bench press. my chest and front delts feel pumped!,incline dumbbell bench press,pumped
"incline walking for 15 minutes i cannot feel my legs, great workout!",incline walking,great workout
i ply 1 hour of indoor soccer and i was exhausted,indoor soccer,exhausted
"i did an insanity workout video. initially, i felt sore after completing the work out but after cooling down i felt good about myself and what my body was capable of doing.",insanity workout,"sore, good"
"20 minutes of intense cardio  felt like dying, out of breathe!",intense cardio,"dying, out of breath"
i   did interval workouts i'm exhausted and sore,interval workouts,"exhausted, sore"
i just did 1 mile intervals on my bike i am tired and trying to catch my breath,intervals,"tired, trying to catch my breath"
i just ran intervals for 30 minutes. i felt great.,intervals,great
i participated in a jazzercize class. i felt excited and revived.,jazzercize,"excited, revived"
i just did a 1 hour jiu-jitsu workout.  i feel tired.,jiu-jitsu,tired
i just went for a jog this morning and felt tired.,jog,tired
i took a jog i felt tired.,jog,tired
i went for a brisk jog. i realized how low my cardiovascular endurance is.,jog,"low, cardiovascular endurance"
a two mile jog uphill. i felt accomplished that i made it that far.,jog,accomplished
i took my dog for a jog.  i felt worn out from trying to keep up with my dog.,jog,worn out
i went for a jog being out of breath is painful,jog,painful
i prefer to jog in the morning.  i feel energetic and boosted for doing my day's work after jogging.,jog,"energetic, boosted"
i jog about half a mile on my second workout. i felt physically strong after my second workout.,jog,physically strong
i jog this morning for 1 hour i felt very energetic after the exercise,jog,energetic
going out for a jog in the morning tired but enjoying sweating,jog,"tired, enjoy"
"i finished a 3 mile jog. it was hard, but i',m glad i did it.",jog,"hard, glad"
i went for an hour jog afterwards i actually felt energetic,jog,energetic
i went for a jog i was exhausted,jog,exhausted
i went for a 30 minute hiit jog i am very out of shape,jog,out of shape
i did a 10 minute jog. i was terrible exhausting.,jog,terrible exhausting
jogging morning jogging is best,jog,jogging
i did a warmup jog on the treadmill for one mile. it got my energy going to keep working out.,jog on the treadmill,got my energy going
i jogged around my drive way and i felt tired after.,jogged,tired
i jogged around the block and felt energized.,jogged,energized
i jogged two laps and was exhausted and worn out.,jogged,"exhausted, worn out"
i jogged for two miles and felt great afterwards.,jogged,great
i just jogged for two hours and feel drained.,jogged,drained
i jogged for 15 minutes. i felt my heart beating fast as i was jogging.,jogged,heart beating fast
jogged for 1 mile. i felt exhausted.,jogged,exhausted
i jogged 1 mile i felt out of breath,jogged,out of breath
i jogged 2 miles. i feel refreshed.,jogged,refreshed
today i jogged for 1 hour i felt super out of breath and out of shape.,jogged,out of shape
i jogged around my neighborhood today. i felt so much better after,jogged,better
i jogged for 10 minutes it was exhausting,jogged,exhausting
i jogged 2 miles around the lake.  i feel good!,jogged,good
i jogged on my treadmill a little over 30 minutes i was more winded than usually.,jogged,winded
"i jogged two miles i felt ok, two miles isn't too far",jogged,ok
i jogged for three miles. i feel strong.,jogged,strong
i jogged 1 mile i felt out of breath,jogged,out of breath
i jogged for thirty minutes i felt great,jogged,great
i jogged 3 miles.  i felt out of breath.,jogged,out of breath
i just jogged 10 miles! i felt tired.,jogged,tired
i jogged for a mile and a half.  i felt exhausted afterwards.,jogged,exhausted
i jogged around the neighborhood. i felt amazing!,jogged,amazing
i jogged for 20 minutes i was out of breath but determined to jog tomorrow,jogged,"out of breath, determined"
i jogged for 15 minutes. my lungs were burning and my back aches.,jogged,"burning, aches"
i jogged around the block i felt refreshed,jogged,refreshed
i jogged 45 minutes. my legs felt sore.,jogged,sore
i jogged for 2 miles. i felt very stiff.,jogged,stiff
i jogged on the treadmill for 15 minutes. i feel energized after jogging.,jogged,energized
i jogged for a mile i felt exhausted,jogged,exhausted
i just jogged 3 miles i am so out of shape and winded!!!,jogged,"out of shape, winded"
i jogged for 20 minutes in my neighborhood. i felt winded and out of breath.,jogged,"winded, out of breath"
jogged for 3 miles  it felt me so tired,jogged,tired
i jogged 3 miles today. i felt energized after my walk.,jogged,energized
i jogged on the treadmill for 2 miles. i was tired and very relieved when the workout was finished.,jogged,"tired, relieved"
i jogged around the lake this morning.  i felt great afterwards.,jogged,great
i jogged for 30 minutes i felt tired,jogged,tired
i jogged for 45 minutes. i'm tight and worn out.,jogged,"tight, worn out"
i just jogged for 5 miles. i am exhausted.,jogged,exhausted
i just jogged for a mile. i felt totally winded.,jogged,winded
i jogged for 20 minutes. i felt tired but accomplished!,jogged,"tired, accomplished"
i jogged 30 minutes around my neighborhood. i am tired and sweaty.,jogged,"tired, sweaty"
i jogged 3 miles. my legs and lower body was sore.,jogged,sore
i jogged on the treadmill for 30 mintues i'm really out of breathe,jogged,out of breathe
i jogged one mile very tired,jogged,tired
i jogged three miles working out to a video on youtube. i felt energized as i went along.,jogged,energized
i jogged for 45 minutes non stop it was tiring,jogged,tiring
i jogged for 30 minutes. i feel tired and my legs are shaking.,jogged,"tired, legs are shaking"
i jogged for two miles. i feel terrific.,jogged,terrific
i jogged in my neighborhood. i'm out of shape.,jogged,out of shape
jogging. i feel shortly i get tired after going to jogging,jogging,tired
i just went jogging and i felt tired right away even though i did a whole mile.,jogging,tired
"after jogging for twenty minutes, i felt like i could fall asleep on the ground.",jogging,could fall asleep
my first workout is jogging. after a hours still my body pains when i normally walk.,jogging,pains
jogging good,jogging,good
jogging i jogged for fifteen minutes and felt like the energy was drained out of me,jogging,drained
jogging healthy,jogging,healthy
jogging  felt better and satisfied,jogging,"better, satisfied"
i went jogging around the block i felt like my legs were jello,jogging,legs were jello
i went jogging i hated it,jogging,hated
i went jogging on the park trail. i felt tired.,jogging,tired
i went jogging outside for 30 minutes. i felt refreshed afterwards.,jogging,refreshed
jogging with the dog calves felt sore,jogging,sore
i did jogging feeling relaxed,jogging,relaxed
"jogging in a place i know tired, and not as sore as running",jogging,"tired, not as sore"
i do jogging i felt now ok,jogging,ok
jogging with dog ready for the day,jogging,ready
i was jogging intensely on the treadmill i felt very delighted after doing this,jogging,delighted
i just jug five miles i felt all well,jug,well
i jugged almost the entire field felt so weak,jugged,weak
i jump passing the ball   it was fun,jump,fun
"i did an interval workout with one minute of jump rope and one minute of planks alternating for 13 minutes.  it was not hard enough, i felt like i still had energy.",jump rope,energy
i did some jump rope it was very difficult,jump rope,very difficult
i did doube-bounce jump rope for 20 minutes very very tired,jump rope,tired
i did 30 minutes of jump rope. i felt high energy during the workout.,jump rope,high energy
i did a jump rope routine for 20 minutes i broke a sweat and feel loose,jump rope routine,"sweat, loose"
i jump roped for 10 minutes  it was awful,jump roped,awful
i jump roped for 10 minutes. i was really sweaty.,jump roped,sweaty
i did 100 jump ropes i felt exhausted.,jump ropes,exhausted
i jump-roped for twenty minutes. i am winded!,jump-roped,winded
i jumped rope for ten minutes. i felt invigorated.,jumped,invigorated
i jumped rope for five minutes. it felt good!,jumped,good
i jumped 250 times using a heavy nylon rope i felt exhausted,jumped,exhausted
i just jumped on the trampoline for an hour. i feel dizzy.,jumped,dizzy
for 10 consecutive and uninterrupted minutes i jumped rope.  after 10 minutes of jumping rope my chest felt like it was about to explode.,jumped,explode
i jumped rope. i felt winded.,jumped rope,winded
i jumped rope for 30 minutes. i felt exhausted.,jumped rope,exhausted
i jumped rope for 10 minutes. i feel exhausted!,jumped rope,exhausted
i jumped rope for five minutes. i need to exercise more.,jumped rope,exercise more
i jumped rope for 5 consecutive minutes i am winded and sweating profusely,jumped rope,"winded, sweating"
i jumped rope for 10 minutes. i feel jiggly and tired!,jumped rope,"jiggly, tired"
i just jumped rope for three set of 30 seconds my legs feel like jelly,jumped rope,jelly
jumping feel better,jumping,better
jumping feel better,jumping,better
second workout was jumping that was good,jumping,good
my first workout is jumping jack  really i am good feel,jumping jack,good feel
my workout is jumping jack  good feel,jumping jack,good feel
i did one jumping jack. i felt lazy.,jumping jack,lazy
i did 300 jumping jacks and felt sore,jumping jacks,sore
i did jumping jacks and felt tired,jumping jacks,tired
i did twenty five jumping jacks. i felt out of breath!,jumping jacks,out of breath
i did 30 jumping jacks. my legs were aching afterwards.,jumping jacks,aching
i did five jumping jacks it was fun,jumping jacks,fun
i did 50 jumping jacks felt fine - heart was was up but i was feeling doos,jumping jacks,fine
i just did 100 jumping jacks i felt sore,jumping jacks,sore
i did 50 jumping jacks i felt energized and ready for the day,jumping jacks,"energized, ready for the day"
i did one hundred jumping jacks. i was so tired after doing all of them.,jumping jacks,tired
i just did 200 jumping jacks. i felt very worn out afterwards.,jumping jacks,worn out
i did a bunch of jumping jacks. i felt exhausted but accomplished.,jumping jacks,"exhausted, accomplished"
i did ten jumping jacks. i felt out of breath afterward.,jumping jacks,out of breath
i did 12 jumping jacks. i felt energetic.,jumping jacks,energetic
i just did a hundred jumping jacks. i think i can do another hundred.,jumping jacks,can do another hundred
i did 50 jumping jacks. i felt tired and out of breath.,jumping jacks,"tired, out of breath"
i did twenty jumping jacks. i feel energized!,jumping jacks,energized
"doing jumping jacks it felt very intense and tiring during the excercise, but very relaxing afterwards",jumping jacks,"intense, tiring, relaxing"
i did 500 jumping jacks. i felt fatigued.,jumping jacks,fatigued
i did 20 jumping jacks i felt exhausted,jumping jacks,exhausted
i did jumping jacks i got tired,jumping jacks,tired
i did 20 jumping jacks i feel energized.,jumping jacks,energized
i just completed 50 jumping jacks. i am out of breath and my heart is racing.,jumping jacks,"out of breath, heart is racing"
i did 50 jumping jacks. i was very tired,jumping jacks,tired
i did twenty five jumping jacks. it sucked.,jumping jacks,sucked
i did three minutes of jumping jacks. i feel out of breath.,jumping jacks,out of breath
i did 25 jumping jacks.  i am so exhausted!,jumping jacks,exhausted
i just did 100 jumping jacks. my calves are really sore.,jumping jacks,sore
i did 4 sets of 20 jumping jacks. i was exhausted and needed to sit down.,jumping jacks,exhausted
i just completed 100 jumping jacks. i am out of breath and tired.,jumping jacks,"out of breath, tired"
"i did 30  jumping jacks. i should do more, i didn't feel challenged by the exercise.",jumping jacks,didn't feel challenged
i just did 35 jumping jacks in under 90 seconds! my legs are so shaky and i can't stand anymore.,jumping jacks,shaky
i did 20 jumping jacks my heart is racing and i am out of breath.,jumping jacks,"racing, out of breath"
i did 30 jumping jacks i was extremely tired after,jumping jacks,extremely tired
i just did 50 jumping jacks. i'm really out of breath.,jumping jacks,out of breath.
i just did forty jumping jacks i feel bad,jumping jacks,bad
i had to do 3 sets of jumping jacks i though this one would never end,jumping jacks,would never end
"i did 20 jumping jacks, i felt out of breath.",jumping jacks,out of breath
i just did a jumping squat program i felt like i'm getting it more,jumping squat program,getting it more
my second excersise was again a position from yoga called kapalbharti i felt both lightweight and good.,kapalbharti,good
i did karate for one hour i felt like i was having fun,karate,fun
i workout karate in black belt  my muscles getting strong,karate,strong
i just kayaked for 5 hours.  i feel sore.,kayaked,sore
i went kayaking for one hour. i feel reinvigorated.,kayaking,reinvigorated
"i did an hours worth of exercise with the kettle ball. i feel sore, but accomplished.",kettle ball,"sore, accomplished"
my first workout was kettle bell swings i felt i was going to die during my kettlebell routine,kettle bell swings,going to die
my second workout was kettle squats i felt that my legs were going to fall off,kettle squats,my legs were going to fall off
i just lifted a kettlebell 25 times. i felt exhausted.,kettlebell,exhausted
i did 100 kettlebell curls today my arms are numb,kettlebell curls,numb
i tried kick boxing today. i thought i was going to die.,kick boxing,die
i worked out on the kick-boxing machine i feel strong,kick-boxing,strong
i took a 30 minute kick-boxing class. i felt good but exhausted.,kick-boxing class,"good, exhausted"
i went kickboxing and felt clearminded after,kickboxing,clearminded
"i attended a two hour kickboxing class after my first work out, i felt like my legs were going to fall off",kickboxing,my legs were going to fall off
i just did my first kickboxing workout. my legs feel like tree trunks.,kickboxing,feel like tree trunks
"i did cardio kickboxing for one hour it was hard, but i felt good doing it",kickboxing,"hard, good"
i just finished a one hour kickboxing class. i feel energized now.,kickboxing,energized
i went for a kickboxing class at the gym. i feel exhausted and sore.,kickboxing,"exhausted, sore"
"i spent an hour in a kickboxing class. my arms are worn out, but my legs feel great.",kickboxing class,"worn out, great"
i played lacrosse for an hour. i felt energized.,lacrosse,energized
"i did ten laps in a standard 50 meter pool. i was very out of wind by the end, but managed to finish.",laps,out of wind
just swam 10 laps. i feel so out of breath.,laps,out of breath
i did 10 laps in the pool. it felt great,laps,great
i did 100 laps in the pool. i am drained and tired.,laps,"drained, tired"
i pumped a leg day i can walk like a cowboy,leg,walk like a cowboy
leg extensions my legs were shaking,leg extensions,my legs were shaking
i did 10 sets of leg extensions. the next day i could barely stand.,leg extensions,barely stand
i did some leg lifts i felt tired,leg lifts,tired
i did leg lifts using my exercise ball i was sore,leg lifts,sore
i just did some leg lifts.  my stomach feels weak.,leg lifts,weak
i did a set of leg lifts i felt very tired,leg lifts,very tired
i just did 50 leg lunges per leg! my legs feel like jello.,leg lunges,jello
i used the leg press i felt very strong; i was able to increase my weight load up to 130 lbs and keep proper form while doing it slow and controlled,leg press,very strong
i did 50 leg presses at 50 pounds i felt proud that i went up 10 presses and 10 more pounds of weight today,leg press,proud
i just did 50 reps on leg press i feel sore,leg press,sore
i just did 20 reps on the leg press. my legs feel like jello!,leg press,jello
leg press i have felt stronger in the past,leg press,stronger
i did the leg press at 150 pounds. i felt a good burn and good workout.,leg press,"good burn, good workout"
leg press pretty good,leg press,good
i just did 4 sets of 12 reps on the leg press. i felt very strong.,leg press,strong
i just did 40 leg presses at 50 pounds i feel proud and great,leg presses,"proud, great"
i did 40 leg presses at 50 pounds i felt that i needed to up my game and increase the weight,leg presses,needed to up my game
i did 3 sets of leg presses i feel tired but great and my legs feel a good burn,leg presses,"tired, great, good burn"
i did leg presses my thighs and butt are really stiff now,leg presses,really stiff
i did 10 leg raises i felt it burn,leg raises,burn
i did a leg workout. my body is shaking.,leg workout,shaking
"my second work out would start with my hand weights. i would lift the weights up and work my arms with the hand weights. i have a couple variations of how i lift them. i start trying to wear my self out with the hand weight workout, so i am getting tired.",lift hand weights,tired
lift weights i felt strong,lift weights,strong
i lifted weights and felt exhausted,lifted,exhausted
i lifted weights for 45 minutes and i feel sore.,lifted,sore
i lifted some weights focusing on legs and felt amazing and energized after.,lifted,energized
i lifted a lot of weights and felt so sore the next 2 days.,lifted,sore
i lifted weights at the gym and felt pumped after,lifted,pumped
i just lifted for 75 minutes! i felt strong.,lifted,strong
i lifted weights for 30 mins. i feel strong!,lifted,strong
"i lifted weights for 30 minutes. my body is a little sore, but i feel pretty good overall.",lifted,sore
i lifted weights in the gym. i felt like a beast!,lifted,beast
i lifted weights for an hour and a half my arms were sore,lifted,sore
i lifted weights i felt weak,lifted,weak
i lifted weights i felt sore,lifted,sore
i lifted weights for 45 minutes. i felt like i had a lot of strength,lifted,strength
i lifted weights i felt tired but happy.,lifted,"tired, happy"
i lifted weights. i felt like giving up but in the end i was proud of myself.,lifted,proud
i lifted weights for an hour i felt pumped up.,lifted,pumped
i lifted weights for one hour. i felt weak.,lifted,weak
i lifted free weights felt like i could add more weights,lifted,add
i lifted weights at the gym today. my arms are so sore today.,lifted,sore
i lifted back and biceps at home today it ws intense but fun,lifted,"intense, fun"
i lifted weights for 30 minutes  i felt strong,lifted,strong
i lifted weights. my arms are sore.,lifted,sore
i lifted for an hour i felt like an athlete,lifted,like an athlete
i lifted 15 pounds over my shoulders. i felt so tired!,lifted,tired
i just lifted weights at the gym i felt really empowered after doing this work out,lifted,empowered
i just lifted some weights i felt so strong afterwards.,lifted,strong
i lifted 5 pound weights for 20 minutes i was energized and felt strong.,lifted,"energized, strong"
i lifted back for two hours. i felt like the weight was heavy today.,lifted,heavy
i lifted 70 pounds of weights. i felt a bit tired after doing the weight lifting.,lifted,a bit tired
i lifted weights i felt tired,lifted,tired
i lifted weights at the gym. i felt exhausted.,lifted,exhausted
i lifted weights for 1 hour. i felt empowered.,lifted,empowered
i lifted weights for 30 minutes. it made me sore.,lifted,sore
i lifted weights for thirty minutes. i felt good.,lifted,good
i lifted two hundred pounds. my arms are still feeling sore during the exercise.,lifted,sore
i lifted 300 pounds i felt like i was having a stroke,lifted,stroke
i lifted weights for 30 minutes i felt pumped after,lifted,pumped
i lifted weights for 45 minutes.  i was very sore afterwards.,lifted,sore
i lifted weights physically exhausted,lifted,exhausted
i lifted 40 pounds on leg press today. my legs are very sore after lifting on the leg press.,lifted,sore
i lifted weights it felt great,lifted,great
i lifted weights at the gym. i felt weak after it.,lifted,weak
i lifted weights today. i am already sore.,lifted,sore
i lifted weights for about 10 minutes  my arms were burning during and afterward.,lifted,burning
i lifted weights. i felt powerful.,lifted,powerful
"i lifted 10 pound weights on each arm, 30 reps  my arms started shaking",lifted,shaking
i just lifted chest and tris today. i felt very strong doing so because i hit my new max,lifted,very strong
i lifted weights weak and tired,lifted,"weak, tired"
i lifted weights i felt energized,lifted,energized
i lifted 25 pound dumbbells. my arms are tired!,lifted 25 pound dumbbells,"sore, tired"
i lifted arms for an hour i felt good.,lifted arms,good
i lifted arms for an hour good pump,lifted arms,pump
i lifted legs today! i was tired from being sick,lifted legs,tired
i lifted weights for an hour and i felt great.,lifted weights,great
i lifted weights using dumbbells and felt exhausted after.,lifted weights,exhausted
i lifted weights in the gym. i feel incredibly tired!,lifted weights,tired
i went to the gym and lifted weights for 2 hours i felt incredibly sore and tired,lifted weights,"sore, tired"
i lifted weights for 15 minutes. i felt sore.,lifted weights,sore
i lifted weights for 30 minutes. i felt sore but at the same time felt great.,lifted weights,"sore, great"
i lifted weights. i felt so weak.,lifted weights,weak
i lifted weights and used the bench press. worn out but satisfied.,lifted weights,satisfied
"i lifted weights for 45 minutes i felt exhausted, i'm out of shape",lifted weights,"exhausted, out of shape"
"i lifted weights and worked my chest, shoulders and triceps. i felt weak during my heavier bench presses.",lifted weights,weak
"i lifted weights and worked my legs, back and biceps. i felt weak doing squats since i haven't done them in a while.",lifted weights,weak
i lifted weights for 30 minutes. i feel out of shape.,lifted weights,out of shape
i lifted weights for an hour. i felt very strong after the workout.,lifted weights,strong
"i went to gym and did an hour of weight lifting. i felt good during, but now i am feeling a little sore.",lifting,"good, sore"
i went to the gym and did lifting exercies for my chest i felt accomplished after my workout.,lifting,accomplished
i spent an hour lifting weights. i felt energized.,lifting,energized
"i spent thirty minutes lifting free weights. i am tired, but my muscles are pleasantly tingling.",lifting,"tired, tingling"
i just did some heavy weight lifting. i feel sore already.,lifting,sore
lifting dumbells my arms feel tired and more energetic.,lifting dumbells,"tired, more energetic."
lifting weights. i am not very strong so i cannot lift very heavy and i always feel a little sore afterwards but i felt determined and interested in what i was doing. and i felt proud that i was doing it and going through any discomfort or hurdles.,lifting weights,"determined, interested, proud"
my second work out was lifting weights my pecs felt they were on fire,lifting weights,on fire
i can't believe i started lifting weights again. my arms feel like complete rubber this morning.,lifting weights,complete rubber
i just finished lifting weights for 2 hours.  i felt great after the 2 hour workout and i feel really strong.,lifting weights,"great, really strong"
lifting weights was tough on my arms felt tired and sore after the workout,lifting weights,"tired, sore"
lifting weights again felt less sore than before,lifting weights,less sore
one hour workout lifting weights at the gym i feel great and have a great pump after lifting weights,lifting weights,"great, great pump"
i did isolated bar bell lifts on m biceps.  my arm feels good.,lifts,good
"i practiced lightsaber techniques for thirty minutes. it was fun, but my arms are tired.",lightsaber techniques,"fun, tired"
"i did exercises to tone up . like lifting weights and burpees during i felt a little dizzy , but then felt sore but good",like lifting weights and burpees,"little dizzy, sore, good"
"super long run around the lake at the local park super tired after the long run, but being out in nature felt great",long run,"tired, great"
i completed a 30 minute low impact session. i'm huffing and puffing!,low impact,"huffing, puffing"
i lunged with dumbbells. i felt out of shape.,lunged,out of shape
lunges i felt strength,lunges,strength
i did forward lunges. my legs were burning and felt like jello.,lunges,"burning, jello"
lunges are very challenging but i love doing them. my legs were burning and kind of wobbly. i loved the feeling.,lunges,"burning, wobbly"
i just did lunges up a huge hill i felt like my body was giving out on me,lunges,giving out
i did 15 lunges  i feel strong,lunges,strong
i just did 10 lunges on each leg.  i'm a lot weaker than i thought i was!,lunges,weaker
i did 45 lunges. i feel like i could jump over the moon.,lunges,could jump over the moon
i just did three sets of lunges. my legs are shaky and it is difficult to walk.,lunges,"shaky, difficult to walk"
i just did 20 minutes of lunges. my legs are shaky and wobbly.,lunges,"shaky, wobbly"
i did 4 sets of 20 lunges  i felt tired and my leg are sore already,lunges,"tired, sore"
i did an hour of martial arts. i felt out of shape.,martial arts,out of shape
i maxed out doing squats and felt like i couldn't stand on my own legs,maxed out,couldn't stand
i do 20 minutes mediation daily. i felt relax.,mediation,relax
i'm doing squats with a medicine ball. my knees are hurting after this workout.,medicine ball.,hurting
i did 15 military presses i feel sore,military presses,sore
i performed 100 military situps my abs were hurting so bad,military situps,hurting
i just did 3 sets of doing mountain climbers for 60 seconds each i'm already sweating!,mountain climbers,sweating!
"i ran 40 mountain climbers. afterward, the back of my calves burned badly.",mountain climbers,burned badly
my second exercise was intense exhausted,my second exercise was intense,exhausted
i did surya namaskar for 6 times everyday i felt very tired and my muscles pained a little.,namaskar,"tired, pained"
i just did a 3 hour nature hike uphill my legs feel shakey but i feel exhilirated and refreshed from being in nature,nature hike,"shakey, exhilirated, refreshed"
i played an hour of netball game and though i was exhausted afterwards it was fulfilling.,netball game,"exhausted, fulfilling"
i did a nike workout at the gym. i could feel my muscles.,nike workout,muscles
i paddled 8 miles of whitewater  i was tired but rrady for a second lap,paddled,tired
i finally practiced doing pilates this morning. it really made me feel so weak!,pilates,weak
i did pilates for 20 minutes i felt great,pilates,great
i prefer doing pilates in the evening after work. i feel relaxed and light after my evening workout.,pilates,"relaxed, light"
i just did a 20 minute pilates workout.  it was really challenging!,pilates,challenging
i just did pilates i'm out of shape,pilates,out of shape
"i did a 30 minute pilates video this morning. i realized how tight my muscles are, i need that stretching and movement!",pilates,tight
i just completed a 30 minute pilates video. i am now stiff and sore.,pilates,"stiff, sore"
i did pilates. i felt relaxed.,pilates,relaxed
i did an hour long pilates class i feel relaxed but sore,pilates,"relaxed, sore"
i did a one hour pilates class and felt energized but sore.,pilates class,"energized, sore"
i just pitched 9 innings. my arm feels like jelly.,pitched,jelly
i held a 3 minute plank i feel exhausted but powerful,plank,"exhausted, powerful"
standard plank on elbows straight across stronger,plank,stronger
i did a minute plank today. my body was shivering during the exercise but i made it through and felt great afterwards.,plank,"shivering, great"
i did a plank for one minute. i felt like time wasn't moving and my shoulders started to hurt real bad.,plank,shoulders started to hurt real bad
i did a one-minute plank. my arms are shaking and my shoulders ache.,plank,"shaking, ache"
i just did four cycles of fifteen seconds plank my arms and shoulders felt sore afterwards,plank,sore
i did a plank in my home i felt relax and happy mood.,plank,"relax, happy mood"
i just did a one minute plank.  it was hard but i made it!,plank,hard
i did 20 plank ups i felt shaky though strong and powerful.,plank ups,"shaky, strong, powerful"
i planked for so long that it hurt my core for three days.,planked,hurt my core
i did 3 sets of 1 minute planks and i was feeling great.,planks,great
i just completed 10 minutes of planks my abs will be burning tomorrow,planks,burning
